Price,Dprice,P1Cash,P2Cash,P1Stock,P2Stock,P1Value,P2Value,P1Asset,P2Asset,P1Decision,P2Decision
100,0,10000,10000,10,10,1000,1000,11000,11000,S,B
100,0,10100,9900,9,11,1000,1000,11000,11000,N,N
100,0,10100,9900,9,11,900,1100,11100,10900,S,B
100,0,10200,9800,8,12,900,1100,11000,11000,N,N
100,0,10200,9800,8,12,800,1200,11100,10900,S,N
97,-3,10300,9800,7,12,800,1200,11000,11000,N,N
97,0,10300,9800,7,12,679,1164,11100,11000,N,B
99.91,2.9099999999999997,10300,9703,7,13,679,1164,10979,10964,B,S
99.91,0,10200.09,9802.91,8,12,699.37,1298.83,10979,10867,B,B
104.90549999999999,4.9955,10100.18,9703,9,13,799.28,1198.92,10899.460000000001,11101.74,B,S
104.90549999999999,0,9995.2745,9807.9055,10,12,944.1494999999999,1363.7714999999998,10899.460000000001,10901.92,N,B
108.05266499999999,3.1471649999999998,9995.2745,9703,10,13,1049.0549999999998,1258.866,10939.423999999999,11171.677,B,N
111.29424494999999,3.2415799499999998,9887.221835,9703,11,13,1080.5266499999998,1404.6846449999998,11044.3295,10961.866,B,S
111.29424494999999,0,9775.92759005,9814.29424495,12,12,1224.23669445,1446.82518435,10967.748485,11107.684645,S,B
111.29424494999999,0,9887.221835,9703,11,13,1335.5309393999999,1335.5309393999999,11000.164284499999,11261.1194293,B,B
116.85895719749999,5.5647122475,9775.92759005,9591.70575505,12,14,1224.23669445,1446.82518435,11222.7527744,11038.5309394,N,S
113.35318848157499,-3.5057687159249995,9775.92759005,9708.5647122475,12,13,1402.3074863699999,1636.0254007649999,11000.164284499999,11038.5309394,S,S
107.68552905749624,-5.6676594240787495,9889.280778531574,9821.917900729075,11,12,1360.2382617788999,1473.5914502604749,11178.23507642,11344.5901130125,S,S
102.30125260462142,-5.384276452874812,9996.966307589071,9929.603429786572,10,11,1184.5408196324586,1292.2263486899549,11249.519040310475,11295.50935098955,B,B
107.41631523485249,5.115062630231072,9894.665054984449,9827.30217718195,11,12,1023.0125260462142,1125.3137786508357,11181.50712722153,11221.829778476527,B,S
107.41631523485249,0,9787.248739749597,9934.718492416801,12,11,1181.5794675833774,1288.9957828182298,10917.677581030663,10952.615955832785,N,S
104.19382577780692,-3.2224894570455747,9787.248739749597,10042.134807651653,12,10,1288.9957828182298,1181.5794675833774,10968.828207332974,11223.714275235032,S,S
98.98413448891658,-5.209691288890347,9891.442565527404,10146.32863342946,11,9,1250.325909333683,1041.9382577780693,11076.244522567828,11223.71427523503,S,N
96.01461045424908,-2.969524034667497,9990.426700016322,10146.32863342946,10,9,1088.8254793780825,890.8572104002492,11141.768474861088,11188.26689120753,N,S
93.13417214062162,-2.8804383136274723,9990.426700016322,10242.34324388371,10,8,960.1461045424908,864.1314940882418,11079.252179394403,11037.18584382971,N,N
93.13417214062162,0,9990.426700016322,10242.34324388371,10,8,931.3417214062162,745.0733771249729,10950.572804558813,11106.474737971952,N,N
93.13417214062162,0,9990.426700016322,10242.34324388371,10,8,931.3417214062162,745.0733771249729,10921.768421422537,10987.416621008682,N,B
98.7222224690589,5.588050328437297,9990.426700016322,10149.209071743087,10,9,931.3417214062162,745.0733771249729,10921.768421422537,10987.416621008682,N,S
95.76055579498714,-2.961666674071767,9990.426700016322,10247.931294212147,10,8,987.2222246905891,888.5000022215302,10921.768421422537,10894.28244886806,N,N
95.76055579498714,0,9990.426700016322,10247.931294212147,10,8,957.6055579498714,766.0844463598971,10977.648924706911,11136.431296433677,N,N
95.76055579498714,0,9990.426700016322,10247.931294212147,10,8,957.6055579498714,766.0844463598971,10948.032257966193,11014.015740572044,S,N
92.88773912113753,-2.872816673849614,10086.187255811308,10247.931294212147,9,8,957.6055579498714,766.0844463598971,10948.032257966193,11014.015740572044,S,B
92.88773912113753,0,10179.074994932445,10155.04355509101,8,9,835.9896520902378,743.1019129691002,11043.79281376118,11014.015740572044,N,S
90.1011069475034,-2.7866321736341257,10179.074994932445,10247.931294212147,8,8,743.1019129691002,835.9896520902378,11015.064647022684,10898.14546806011,S,N
87.3980737390783,-2.7030332084251016,10269.176101879948,10247.931294212147,7,8,720.8088555800272,720.8088555800272,10922.176907901545,11083.920946302385,S,N
84.77613152690596,-2.621942212172349,10356.574175619025,10247.931294212147,6,8,611.7865161735481,699.1845899126264,10989.984957459976,10968.740149792175,S,B
84.77613152690596,0,10441.35030714593,10163.155162685242,5,9,508.65678916143577,678.2090522152477,10968.360691792574,10947.115884124772,N,S
82.23284758109878,-2.5432839458071785,10441.35030714593,10247.931294212147,5,8,423.88065763452977,762.9851837421536,10950.007096307367,10841.36421490049,N,N
82.23284758109878,0,10441.35030714593,10247.931294212147,5,8,411.1642379054939,657.8627806487902,10865.230964780461,11010.9164779543,S,N
79.76586215366582,-2.4669854274329635,10523.58315472703,10247.931294212147,4,8,411.1642379054939,657.8627806487902,10852.514545051425,10905.794074860936,N,B
84.55181388288577,4.785951729219949,10523.58315472703,10168.16543205848,4,9,319.0634486146633,638.1268972293266,10934.747392632524,10905.794074860936,B,S
84.55181388288577,0,10439.031340844143,10252.717245941367,5,8,338.20725553154307,760.9663249459719,10842.646603341693,10806.292329287808,S,B
84.55181388288577,0,10523.58315472703,10168.16543205848,4,9,422.75906941442884,676.4145110630861,10777.238596375686,11013.683570887339,S,S
80.32422318874148,-4.227590694144289,10608.134968609917,10252.717245941367,3,8,338.20725553154307,760.9663249459719,10946.34222414146,10844.579943121567,B,N
85.14367658006597,4.819453391324489,10527.810745421175,10252.717245941367,4,8,240.97266956622445,642.5937855099319,10946.34222414146,11013.683570887339,B,N
90.25229717486992,5.108620594803958,10442.667068841109,10252.717245941367,5,8,340.5747063202639,681.1494126405278,10768.7834149874,10895.3110314513,N,N
90.25229717486992,0,10442.667068841109,10252.717245941367,5,8,451.2614858743496,722.0183773989594,10783.241775161372,10933.866658581894,S,N
87.54472825962382,-2.7075689152460978,10532.919366015978,10252.717245941367,4,8,451.2614858743496,722.0183773989594,10893.928554715458,10974.735623340326,N,B
92.79741195520126,5.25268369557743,10532.919366015978,10165.172517681744,4,9,350.1789130384953,700.3578260769906,10984.180851890327,10974.735623340326,B,S
92.79741195520126,0,10440.121954060776,10257.969929636945,5,8,371.189647820805,835.1767075968113,10883.098279054473,10865.530343758734,B,N
98.36525667251333,5.5678447173120755,10347.324542105574,10257.969929636945,6,8,463.9870597760063,742.37929564161,10811.311601881582,11093.146637233756,B,S
98.36525667251333,0,10248.95928543306,10356.33518630946,7,7,590.1915400350799,786.9220533801066,10811.31160188158,11000.349225278555,B,N
104.26717207286413,5.901915400350799,10150.594028760546,10356.33518630946,8,7,688.5567967075933,688.5567967075933,10839.15082546814,11143.257239689567,B,S
104.26717207286413,0,10046.326856687681,10460.602358382324,9,6,834.137376582913,729.8702045100489,10839.15082546814,11044.891983017053,N,B
110.52320239723598,6.256030324371848,10046.326856687681,10356.33518630946,9,7,938.4045486557771,625.6030324371848,10880.464233270595,11190.472562892373,B,S
110.52320239723598,0,9935.803654290445,10466.858388706696,10,6,994.7088215751238,773.6624167806518,10984.731405343458,10981.938218746644,S,N
107.2075063253189,-3.3156960719170794,10046.326856687681,10466.858388706696,9,6,1105.2320239723597,663.1392143834158,10930.51247586557,11240.520805487347,S,N
103.99128113555933,-3.216225189759567,10153.534363013001,10466.858388706696,8,6,964.8675569278702,643.2450379519134,11151.55888066004,11129.997603090113,S,B
103.99128113555933,0,10257.52564414856,10362.867107571137,7,7,831.9302490844747,623.947686813356,11118.40191994087,11110.10342665861,B,N
110.2307580036929,6.2394768681335595,10153.534363013001,10362.867107571137,8,7,727.9389679489153,727.9389679489153,11089.455893233035,10986.814794384492,N,S
106.9238352635821,-3.306922740110787,10153.534363013001,10473.09786557483,8,6,881.8460640295432,771.6153060258503,10881.473330961917,11090.806075520053,S,B
